age_AFT,age_AHE,id_AFT,id_AHE,check
49.3,188.7,P74852,P74852,True
34.5,31.5,P74804,P74804,True
34.5,33.1,P74804,P74804,True
34.5,156.6,P74804,P74804,True
34.5,39.2,P74804,P74804,True
34.5,40.2,P74804,P74804,True
34.5,39.5,P74804,P74804,True
34.5,35.7,P74804,P74804,True
34.5,32.0,P74804,P74804,True
34.5,45.8,P74804,P74804,True
34.3,47.1,P74814,P74814,True
34.3,35.4,P74814,P74814,True
34.3,33.1,P74814,P74814,True
34.3,40.5,P74814,P74814,True
34.3,49.7,P74814,P74814,True
56.3,47.8,P74853,P74853,True
56.3,65.4,P74853,P74853,True
56.3,73.9,P74853,P74853,True
56.3,47.6,P74853,P74853,True
56.3,72.5,P74853,P74853,True
56.3,52.0,P74853,P74853,True
33.2,1685.6,P74854,P74854,True
33.2,59.2,P74854,P74854,True
33.2,92.6,P74854,P74854,True
33.2,96.8,P74854,P74854,True
33.2,44.6,P74854,P74854,True
33.2,41.5,P74854,P74854,True
33.2,45.8,P74854,P74854,True
38.0,61.7,P74855,P74855,True
38.0,47.3,P74855,P74855,True
38.0,43.0,P74855,P74855,True
57.0,48.7,P74861,P74861,True
57.0,44.6,P74861,P74861,True
57.0,91.1,P74861,P74861,True
57.0,51.3,P74861,P74861,True
57.0,47.4,P74861,P74861,True
35.6,40.2,P74875,P74875,True
35.6,1530.9,P74875,P74875,True
29.1,37.9,P74877,P74877,True
29.1,73.8,P74877,P74877,True
29.1,26.9,P74877,P74877,True
29.1,62.6,P74877,P74877,True
29.1,35.9,P74877,P74877,True
33.4,33.0,P74878,P74878,True
33.4,28.9,P74878,P74878,True
33.4,26.2,P74878,P74878,True
33.4,33.1,P74878,P74878,True
33.4,36.4,P74878,P74878,True
33.4,44.6,P74878,P74878,True
24.3,47.1,P74882,P74882,True
24.3,29.7,P74882,P74882,True
24.3,119.3,P74882,P74882,True
24.3,26.0,P74882,P74882,True
48.0,45.2,R31729,R31729,True
48.0,368.8,R31729,R31729,True
48.0,67.0,R31729,R31729,True
48.0,69.8,R31729,R31729,True
48.0,47.0,R31729,R31729,True
38.1,35.8,V06-24-11,V06-24-11A,True
38.1,29.8,V06-24-11,V06-24-11B,True
38.1,46.9,V06-24-11,V06-24-11C,True
38.1,31.1,V06-24-11,V06-24-11D,True
38.1,35.6,V06-24-11,V06-24-11E,True
27.1,58.4,V07-24-11,V07-24-11A,True
27.1,72.1,V07-24-11,V07-24-11B,True
27.1,49.4,V07-24-11,V07-24-11C,True
27.1,80.9,V07-24-11,V07-24-11D,True
27.1,338.2,V07-24-11,V07-24-11E,True
69.1,122.7,V03-26-11,V03-26-11B,True
69.1,76.1,V03-26-11,V03-26-11C,True
69.1,221.9,V03-26-11,V03-26-11D,True
69.1,84.2,V03-26-11,V03-26-11E,True
69.1,923.4,V03-26-11,V03-26-11F,True
65.9,45.0,V01-27-11,V01-27-11A,True
65.9,37.7,V01-27-11,V01-27-11B,True
65.9,49.4,V01-27-11,V01-27-11C,True
65.9,67.1,V01-27-11,V01-27-11D,True
65.9,40.9,V01-27-11,V01-27-11E,True
26.2,46.0,V02-27-11,V02-27-11A,True
26.2,57.0,V02-27-11,V02-27-11B,True
26.2,42.9,V02-27-11,V02-27-11E,True
26.5,132.4,V06-27-11,V06-27-11A,True
26.5,178.0,V06-27-11,V06-27-11D,True
26.5,44.0,V06-27-11,V06-27-11E,True
30.6,62.8,V08-27-11,V08-27-11A,True
30.6,50.2,V08-27-11,V08-27-11B,True
33.7,40.1,V10-27-11,V10-27-11A,True
33.7,42.8,V10-27-11,V10-27-11B,True
33.7,61.7,V10-27-11,V10-27-11C,True
32.9,96.9,V04-30-11,V04-30-11A,True
32.9,36.4,V04-30-11,V04-30-11B,True
32.9,98.3,V04-30-11,V04-30-11C,True
32.9,76.1,V04-30-11,V04-30-11D,True
59.6,41.5,V02-02-12,V02-02-12A,True
59.6,40.8,V02-02-12,V02-02-12B,True
59.6,36.7,V02-02-12,V02-02-12C,True
59.6,35.6,V02-02-12,V02-02-12D,True
59.6,48.1,V02-02-12,V02-02-12E,True
59.6,33.6,V02-02-12,V02-02-12F,True
54.9,45.3,V06-02-12,V06-02-12A,True
54.9,66.6,V06-02-12,V06-02-12B,True
54.9,63.3,V06-02-12,V06-02-12C,True
54.9,40.4,V06-02-12,V06-02-12D,True
54.9,137.6,V06-02-12,V06-02-12E,True
32.9,36.4,V07-02-12,V07-02-12A,True
32.9,30.1,V07-02-12,V07-02-12B,True
32.9,28.7,V07-02-12,V07-02-12C,True
32.9,25.3,V07-02-12,V07-02-12D,True
32.9,23.3,V07-02-12,V07-02-12E,True
