nMin,nMax,ageBin,ageMean,ageMeanErr,exRate,exRateErr,ageGrad,ageGradErr
6.0,17.0,30.5,30.46444948342055,0.808204111624542,299.82999545324043,45.89934236750469,0.0033352233437763355,0.0005105711918404705
6.0,17.0,35.5,36.1262383946788,0.912424023993334,330.84700018753233,95.86042894795229,0.0030225451626678646,0.0008757597186725782
6.0,17.0,40.5,41.058352509047694,1.139774695563309,134.08296780794294,85.05042317255257,0.007458068808801837,0.00473074185788596
6.0,17.0,45.5,44.84700737222852,0.6656319223653446,112.95106466067936,59.98404363062284,0.008853391537336443,0.004701701802014534
6.0,17.0,50.5,50.996705762919,0.8333505717758681,60.50054872957471,13.842765122528409,0.01652877570532127,0.0037818493328783493
6.0,17.0,55.5,55.35922522622457,1.303490309466888,57.17057661525038,11.919483389267379,0.01749151502756136,0.003646802869022021
6.0,17.0,60.5,60.64680867882799,0.9070913966385055,53.353337202689964,7.034718115022178,0.018742970026429426,0.0024712889143810317
6.0,17.0,65.5,65.30739140149066,0.8501772928787782,51.12568002886417,8.520205581675624,0.01955964203186006,0.0032596568128060873
6.0,17.0,70.5,70.04094193615028,1.4426110587915744,45.03340281951738,8.75514406680568,0.022205739237777567,0.004317116494967676
6.0,17.0,75.5,75.98277210884353,1.063614971681526,38.505531716211614,13.447426321060222,0.025970294537680145,0.009069700034414848
6.0,17.0,80.5,80.38281801735846,1.1193861208013007,32.69286913085166,17.226571745869037,0.030587709998701775,0.016117318389080322
6.0,17.0,85.5,85.32526463324258,1.5998543017749318,16.729806892206003,2.196563721668751,0.05977355306270002,0.007848053418592455
6.0,17.0,90.5,90.70487761258349,1.1047511736562992,26.150764635234776,13.337243786276959,0.03823979963678115,0.019502815202847183
6.0,17.0,95.5,95.15140803436759,1.5447885888101367,18.667714784952786,7.766880387544561,0.05356842074778513,0.022287651235869243
