lon,lat,z,age,age_serr,Lm,Lm_serr,L_sd,source,sample
169.000246512561,-71.6270131313434,2162,64.1,5.9,13.46,0.21,1.45,A to Z Inc,P74845
169.037144427303,-71.5966146433282,1602,39.0,2.6,13.43,0.28,2.15,A to Z Inc,P74847
168.804937204087,-71.7744158490873,3322,76.6,3.7,13.33,0.14,1.74,A to Z Inc,P74848
168.982701593991,-71.7648357806463,1988,49.3,2.3,14.22,0.14,1.71,A to Z Inc,P74852
169.648210242952,-71.7181161511232,2003,44.6,2.3,13.79,0.16,1.91,A to Z Inc,P74856
169.434618610177,-71.7796535213746,2208,59.4,14.3,13.25,1.18,2.04,A to Z Inc,P74857
169.20460825728,-71.8634497511923,2684,48.6,4.4,13.53,0.39,1.78,A to Z Inc,P74858
169.171908220568,-71.8329814975638,2171,45.1,2.9,13.93,0.26,1.99,A to Z Inc,P74860
169.812078365987,-71.8120305820694,1975,31.5,1.8,14.2,0.14,1.51,A to Z Inc,P74862
169.719591345282,-71.8184305288519,1656,33.7,1.8,14.16,0.2,1.6,A to Z Inc,P74863
170.101364664766,-71.6525082583066,264,34.5,1.8,14.38,0.14,1.68,A to Z Inc,P74804
170.088764915084,-71.6485085122328,20,34.3,2.0,14.46,0.13,1.58,A to Z Inc,P74814
169.537600087771,-71.9186057109085,3533,56.3,3.3,13.79,0.19,2.21,A to Z Inc,P74853
169.630435942312,-71.8774476331916,2588,33.2,1.8,14.2,0.13,1.42,A to Z Inc,P74854
169.628285528196,-71.8628084284262,2161,38.0,2.3,13.76,0.17,1.76,A to Z Inc,P74855
169.863807262312,-71.8259496705169,2312,57.0,3.5,14.06,0.26,1.91,A to Z Inc,P74861
169.213662003289,-71.3713361506486,15,29.5,2.4,14.51,0.34,1.75,A to Z Inc,P74868
169.10668602471,-71.3995749847337,1250,45.2,2.4,13.87,0.18,2.21,A to Z Inc,P74869
168.073616474536,-71.1069240743011,5,35.6,1.8,13.42,0.18,2.12,A to Z Inc,P74875
170.169334732371,-72.0334175390558,0,29.1,1.7,13.93,0.14,1.6,A to Z Inc,P74877
170.158334703874,-72.022218177241,353,33.4,4.3,13.89,0.13,1.52,A to Z Inc,P74878
169.962850621809,-72.3224725602407,0,22.9,1.2,14.3,0.13,1.53,A to Z Inc,P74881
169.752596603297,-72.3078240125194,1746,24.3,1.7,14.86,0.17,1.19,A to Z Inc,P74882
168.500316464611,-71.7805065331713,3445,125.0,6.0,12.27,0.32,3.7,U Melbourne,R31718
168.440318760522,-71.7955059271303,3650,106.0,9.0,12.71,0.29,2.94,U Melbourne,R31719
168.380321749541,-71.8305042451556,2200,76.0,6.0,12.64,0.24,2.36,U Melbourne,R31720
166.990326631928,-70.7865649237268,45,48.0,3.0,14.01,0.12,1.21,U Melbourne,R31729
168.900334446487,-72.6304592702772,2145,34.0,2.0,14.2,0.15,1.54,U Melbourne,R31730
169.140326230551,-72.6104595714804,175,24.0,2.0,13.99,0.15,1.36,U Melbourne,R31731
169.240324560536,-72.6504570757767,1530,34.0,3.0,14.34,0.16,1.6,U Melbourne,R31732
169.90671,-72.30844,1098,38.1,4.0,14.1,0.2,1.8,Balestrieri et al. (2020),V06-24-11
169.92954,-72.32272,40,27.1,1.5,14.2,0.2,1.4,Balestrieri et al. (2020),V07-24-11
166.87541,-71.42502,1841,69.1,4.6,13.2,0.3,2.02,Balestrieri et al. (2020),V03-26-11
166.68235,-72.27242,1749,65.9,3.5,12.3,0.9,2.3,Balestrieri et al. (2020),V01-27-11
168.50111,-73.16809,2176,26.2,2.6,0.0,0.0,0.0,Balestrieri et al. (2020),V02-27-11
169.28492,-72.63772,944,26.5,2.2,13.6,0.6,1.6,Balestrieri et al. (2020),V06-27-11
169.14722,-72.64536,2217,30.6,2.1,14.7,0.3,1.1,Balestrieri et al. (2020),V08-27-11
169.28701,-72.42714,1897,33.7,2.2,14.5,0.4,2.0,Balestrieri et al. (2020),V10-27-11
168.25996,-72.36624,151,32.9,2.7,14.8,0.6,0.8,Balestrieri et al. (2020),V04-30-11
167.24992,-71.87203,1565,59.6,3.7,13.8,0.2,2.1,Balestrieri et al. (2020),V02-02-12
168.90142,-71.81027,2646,55.7,2.4,13.4,0.3,1.9,Balestrieri et al. (2020),V03-02-12a
168.81329,-71.77645,3484,79.2,3.2,13.6,0.2,1.6,Balestrieri et al. (2020),V04-02-12a
168.91754,-71.76407,2061,60.3,2.5,13.4,0.3,1.7,Balestrieri et al. (2020),V05-02-12a
169.98917,-71.76505,1831,54.9,4.6,13.2,0.3,2.4,Balestrieri et al. (2020),V06-02-12
167.24992,-72.1857,80,32.9,1.9,14.4,0.2,1.3,Balestrieri et al. (2020),V07-02-12
